"Tanggal","Provinsi","Jenis Kelamin","Jumlah"
"2021-03-24","ACEH","laki-laki",4818
"2021-03-28","ACEH","laki-laki",4843
"2021-04-07","ACEH","laki-laki",4907
"2021-04-12","ACEH","laki-laki",4970
"2021-04-15","ACEH","laki-laki",5017
"2021-04-16","ACEH","laki-laki",5028
"2021-04-17","ACEH","laki-laki",5044
"2021-04-18","ACEH","laki-laki",5065
"2021-04-19","ACEH","laki-laki",5073
"2021-04-20","ACEH","laki-laki",5103
"2021-04-21","ACEH","laki-laki",5137
"2021-04-22","ACEH","laki-laki",5172
"2021-04-23","ACEH","laki-laki",5210
"2021-04-24","ACEH","laki-laki",5234
"2021-04-25","ACEH","laki-laki",5244
"2021-04-26","ACEH","laki-laki",5281
"2021-04-27","ACEH","laki-laki",5312
"2021-04-30","ACEH","laki-laki",5439
"2021-05-01","ACEH","laki-laki",5490
"2021-05-02","ACEH","laki-laki",5533
"2021-05-04","ACEH","laki-laki",5614
"2021-05-06","ACEH","laki-laki",5700
"2021-05-08","ACEH","laki-laki",5810
"2021-05-10","ACEH","laki-laki",5862
"2021-05-13","ACEH","laki-laki",5978
"2021-05-14","ACEH","laki-laki",5980
"2021-05-16","ACEH","laki-laki",6029
"2021-05-19","ACEH","laki-laki",6200
"2021-05-25","ACEH","laki-laki",6669
"2021-05-26","ACEH","laki-laki",6798
"2021-05-29","ACEH","laki-laki",7188
"2021-05-31","ACEH","laki-laki",7369
"2021-06-02","ACEH","laki-laki",7461
"2021-06-10","ACEH","laki-laki",8214
"2021-06-12","ACEH","laki-laki",8386
"2021-06-13","ACEH","laki-laki",8461
"2021-03-24","BALI","laki-laki",19153
"2021-03-28","BALI","laki-laki",19482
"2021-04-07","BALI","laki-laki",20506
"2021-04-12","BALI","laki-laki",20967
"2021-04-15","BALI","laki-laki",21209
"2021-04-16","BALI","laki-laki",21320
"2021-04-17","BALI","laki-laki",21422
"2021-04-18","BALI","laki-laki",21506
"2021-04-19","BALI","laki-laki",21592
"2021-04-20","BALI","laki-laki",21697
"2021-04-21","BALI","laki-laki",21805
"2021-04-22","BALI","laki-laki",21884
"2021-04-23","BALI","laki-laki",21961
"2021-04-24","BALI","laki-laki",22012
"2021-04-25","BALI","laki-laki",22050
"2021-04-26","BALI","laki-laki",22111
"2021-04-27","BALI","laki-laki",22186
"2021-04-30","BALI","laki-laki",22413
"2021-05-01","BALI","laki-laki",22494
"2021-05-02","BALI","laki-laki",22538
"2021-05-04","BALI","laki-laki",22675
"2021-05-06","BALI","laki-laki",22827
"2021-05-08","BALI","laki-laki",22939
"2021-05-10","BALI","laki-laki",23032
"2021-05-13","BALI","laki-laki",23177
"2021-05-14","BALI","laki-laki",23198
"2021-05-16","BALI","laki-laki",23262
"2021-05-19","BALI","laki-laki",23405
"2021-05-25","BALI","laki-laki",23612
"2021-05-26","BALI","laki-laki",23643
"2021-05-29","BALI","laki-laki",23713
"2021-05-31","BALI","laki-laki",23752
"2021-06-02","BALI","laki-laki",23795
"2021-06-10","BALI","laki-laki",24060
"2021-06-12","BALI","laki-laki",24098
"2021-06-13","BALI","laki-laki",24126
"2021-03-24","BANTEN","laki-laki",17303
"2021-03-28","BANTEN","laki-laki",17549
"2021-04-07","BANTEN","laki-laki",21377
"2021-04-12","BANTEN","laki-laki",21750
"2021-04-15","BANTEN","laki-laki",21916
"2021-04-16","BANTEN","laki-laki",21983
"2021-04-17","BANTEN","laki-laki",22033
"2021-04-18","BANTEN","laki-laki",22059
"2021-04-19","BANTEN","laki-laki",22092
"2021-04-20","BANTEN","laki-laki",22135
"2021-04-21","BANTEN","laki-laki",22167
"2021-04-22","BANTEN","laki-laki",22207
"2021-04-23","BANTEN","laki-laki",22286
"2021-04-24","BANTEN","laki-laki",22313
"2021-04-25","BANTEN","laki-laki",22347
"2021-04-26","BANTEN","laki-laki",22460
"2021-04-27","BANTEN","laki-laki",22582
"2021-04-30","BANTEN","laki-laki",22699
"2021-05-01","BANTEN","laki-laki",22727
"2021-05-02","BANTEN","laki-laki",22749
"2021-05-04","BANTEN","laki-laki",22868
"2021-05-06","BANTEN","laki-laki",22928
"2021-05-08","BANTEN","laki-laki",22992
"2021-05-10","BANTEN","laki-laki",23053
"2021-05-13","BANTEN","laki-laki",23141
"2021-05-14","BANTEN","laki-laki",23164
"2021-05-16","BANTEN","laki-laki",23207
"2021-05-19","BANTEN","laki-laki",23277
"2021-05-25","BANTEN","laki-laki",23457
"2021-05-26","BANTEN","laki-laki",23483
"2021-05-29","BANTEN","laki-laki",23633
"2021-05-31","BANTEN","laki-laki",23735
"2021-06-02","BANTEN","laki-laki",23823
"2021-06-10","BANTEN","laki-laki",24254
"2021-06-12","BANTEN","laki-laki",24449
"2021-06-13","BANTEN","laki-laki",24544
"2021-03-24","BENGKULU","laki-laki",2398
"2021-03-28","BENGKULU","laki-laki",2423
"2021-04-07","BENGKULU","laki-laki",2531
"2021-04-12","BENGKULU","laki-laki",2604
"2021-04-15","BENGKULU","laki-laki",2649
"2021-04-16","BENGKULU","laki-laki",2670
"2021-04-17","BENGKULU","laki-laki",2694
"2021-04-18","BENGKULU","laki-laki",2743
"2021-04-19","BENGKULU","laki-laki",2760
"2021-04-20","BENGKULU","laki-laki",2780
"2021-04-21","BENGKULU","laki-laki",2819
"2021-04-22","BENGKULU","laki-laki",2826
"2021-04-23","BENGKULU","laki-laki",2856
"2021-04-24","BENGKULU","laki-laki",2874
"2021-04-25","BENGKULU","laki-laki",2920
"2021-04-26","BENGKULU","laki-laki",2943
"2021-04-27","BENGKULU","laki-laki",2978
"2021-04-30","BENGKULU","laki-laki",3040
"2021-05-01","BENGKULU","laki-laki",3090
"2021-05-02","BENGKULU","laki-laki",3123
"2021-05-04","BENGKULU","laki-laki",3151
"2021-05-06","BENGKULU","laki-laki",3195
"2021-05-08","BENGKULU","laki-laki",3262
"2021-05-10","BENGKULU","laki-laki",3290
"2021-05-13","BENGKULU","laki-laki",3334
"2021-05-14","BENGKULU","laki-laki",3357
"2021-05-16","BENGKULU","laki-laki",3361
"2021-05-19","BENGKULU","laki-laki",3378
"2021-05-25","BENGKULU","laki-laki",3500
"2021-05-26","BENGKULU","laki-laki",3515
"2021-05-29","BENGKULU","laki-laki",3596
"2021-05-31","BENGKULU","laki-laki",3629
"2021-06-02","BENGKULU","laki-laki",3644
"2021-06-10","BENGKULU","laki-laki",3767
"2021-06-12","BENGKULU","laki-laki",3781
"2021-06-13","BENGKULU","laki-laki",3828
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",15094
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",15439
"2021-04-07","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",16356
"2021-04-12","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",16774
"2021-04-15","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17098
"2021-04-16","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17199
"2021-04-17","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17269
"2021-04-18","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17328
"2021-04-19","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17400
"2021-04-20","DAERAH ISTIMEWA YOGYAKARTA","laki-laki",17486
