"Tanggal","Provinsi","Status Covid-19","Total"
"2021-03-24","ACEH","kumulatif",9791
"2021-03-28","ACEH","kumulatif",9845
"2021-04-07","ACEH","kumulatif",9985
"2021-04-12","ACEH","kumulatif",10106
"2021-04-15","ACEH","kumulatif",10200
"2021-04-16","ACEH","kumulatif",10222
"2021-04-17","ACEH","kumulatif",10257
"2021-04-18","ACEH","kumulatif",10300
"2021-04-19","ACEH","kumulatif",10313
"2021-04-20","ACEH","kumulatif",10365
"2021-04-21","ACEH","kumulatif",10429
"2021-04-22","ACEH","kumulatif",10516
"2021-04-23","ACEH","kumulatif",10607
"2021-04-24","ACEH","kumulatif",10653
"2021-04-25","ACEH","kumulatif",10677
"2021-04-26","ACEH","kumulatif",10744
"2021-04-27","ACEH","kumulatif",10814
"2021-04-30","ACEH","kumulatif",11045
"2021-05-01","ACEH","kumulatif",11169
"2021-05-02","ACEH","kumulatif",11237
"2021-05-04","ACEH","kumulatif",11391
"2021-05-06","ACEH","kumulatif",11589
"2021-05-08","ACEH","kumulatif",11802
"2021-05-10","ACEH","kumulatif",11898
"2021-05-13","ACEH","kumulatif",12152
"2021-05-14","ACEH","kumulatif",12157
"2021-05-16","ACEH","kumulatif",12249
"2021-05-19","ACEH","kumulatif",12615
"2021-05-25","ACEH","kumulatif",13581
"2021-05-26","ACEH","kumulatif",13848
"2021-05-29","ACEH","kumulatif",14631
"2021-05-31","ACEH","kumulatif",15017
"2021-06-02","ACEH","kumulatif",15240
"2021-06-10","ACEH","kumulatif",16825
"2021-06-12","ACEH","kumulatif",17217
"2021-06-13","ACEH","kumulatif",17376
"2021-03-24","BALI","kumulatif",38526
"2021-03-28","BALI","kumulatif",39171
"2021-04-07","BALI","kumulatif",41054
"2021-04-12","BALI","kumulatif",41903
"2021-04-15","BALI","kumulatif",42376
"2021-04-16","BALI","kumulatif",42587
"2021-04-17","BALI","kumulatif",42756
"2021-04-18","BALI","kumulatif",42928
"2021-04-19","BALI","kumulatif",43082
"2021-04-20","BALI","kumulatif",43289
"2021-04-21","BALI","kumulatif",43485
