"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-03-24","ACEH","0-5",198
"2021-03-28","ACEH","0-5",199
"2021-04-07","ACEH","0-5",200
"2021-04-12","ACEH","0-5",203
"2021-04-15","ACEH","0-5",203
"2021-04-16","ACEH","0-5",204
"2021-04-17","ACEH","0-5",205
"2021-04-18","ACEH","0-5",205
"2021-04-19","ACEH","0-5",205
"2021-04-20","ACEH","0-5",206
"2021-04-21","ACEH","0-5",207
"2021-04-22","ACEH","0-5",208
"2021-04-23","ACEH","0-5",211
"2021-04-24","ACEH","0-5",213
"2021-04-25","ACEH","0-5",216
"2021-04-26","ACEH","0-5",216
"2021-04-27","ACEH","0-5",217
"2021-04-30","ACEH","0-5",222
"2021-05-01","ACEH","0-5",225
"2021-05-02","ACEH","0-5",225
"2021-05-04","ACEH","0-5",228
"2021-05-06","ACEH","0-5",230
"2021-05-08","ACEH","0-5",236
"2021-05-10","ACEH","0-5",237
"2021-05-13","ACEH","0-5",239
"2021-05-14","ACEH","0-5",239
"2021-05-16","ACEH","0-5",241
"2021-05-19","ACEH","0-5",245
"2021-05-25","ACEH","0-5",255
"2021-05-26","ACEH","0-5",256
"2021-05-29","ACEH","0-5",263
"2021-05-31","ACEH","0-5",272
"2021-06-02","ACEH","0-5",276
"2021-06-10","ACEH","0-5",285
"2021-06-12","ACEH","0-5",288
"2021-06-13","ACEH","0-5",288
"2021-03-24","BALI","0-5",842
"2021-03-28","BALI","0-5",858
"2021-04-07","BALI","0-5",884
"2021-04-12","BALI","0-5",897
"2021-04-15","BALI","0-5",910
"2021-04-16","BALI","0-5",913
"2021-04-17","BALI","0-5",915
"2021-04-18","BALI","0-5",919
"2021-04-19","BALI","0-5",921
"2021-04-20","BALI","0-5",927
"2021-04-21","BALI","0-5",930
"2021-04-22","BALI","0-5",932
"2021-04-23","BALI","0-5",933
"2021-04-24","BALI","0-5",934
"2021-04-25","BALI","0-5",936
"2021-04-26","BALI","0-5",937
"2021-04-27","BALI","0-5",940
"2021-04-30","BALI","0-5",945
"2021-05-01","BALI","0-5",948
"2021-05-02","BALI","0-5",952
"2021-05-04","BALI","0-5",954
"2021-05-06","BALI","0-5",960
"2021-05-08","BALI","0-5",962
"2021-05-10","BALI","0-5",965
"2021-05-13","BALI","0-5",967
"2021-05-14","BALI","0-5",967
"2021-05-16","BALI","0-5",969
"2021-05-19","BALI","0-5",972
"2021-05-25","BALI","0-5",985
"2021-05-26","BALI","0-5",988
"2021-05-29","BALI","0-5",993
"2021-05-31","BALI","0-5",995
"2021-06-02","BALI","0-5",995
"2021-06-10","BALI","0-5",1441
"2021-06-12","BALI","0-5",1444
"2021-06-13","BALI","0-5",1444
"2021-03-24","BANTEN","0-5",941
"2021-03-28","BANTEN","0-5",954
"2021-04-07","BANTEN","0-5",1065
"2021-04-12","BANTEN","0-5",1082
"2021-04-15","BANTEN","0-5",1095
"2021-04-16","BANTEN","0-5",1103
"2021-04-17","BANTEN","0-5",1110
"2021-04-18","BANTEN","0-5",1111
"2021-04-19","BANTEN","0-5",1113
"2021-04-20","BANTEN","0-5",1117
"2021-04-21","BANTEN","0-5",1118
"2021-04-22","BANTEN","0-5",1121
"2021-04-23","BANTEN","0-5",1125
"2021-04-24","BANTEN","0-5",1128
"2021-04-25","BANTEN","0-5",1131
"2021-04-26","BANTEN","0-5",1141
"2021-04-27","BANTEN","0-5",1151
"2021-04-30","BANTEN","0-5",1158
"2021-05-01","BANTEN","0-5",1162
"2021-05-02","BANTEN","0-5",1166
"2021-05-04","BANTEN","0-5",1176
"2021-05-06","BANTEN","0-5",1178
"2021-05-08","BANTEN","0-5",1180
"2021-05-10","BANTEN","0-5",1186
"2021-05-13","BANTEN","0-5",1189
"2021-05-14","BANTEN","0-5",1190
"2021-05-16","BANTEN","0-5",1194
"2021-05-19","BANTEN","0-5",1202
"2021-05-25","BANTEN","0-5",1213
"2021-05-26","BANTEN","0-5",1216
"2021-05-29","BANTEN","0-5",1230
"2021-05-31","BANTEN","0-5",1241
"2021-06-02","BANTEN","0-5",1247
"2021-06-10","BANTEN","0-5",1280
"2021-06-12","BANTEN","0-5",1307
"2021-06-13","BANTEN","0-5",1317
"2021-03-24","BENGKULU","0-5",115
"2021-03-28","BENGKULU","0-5",117
"2021-04-07","BENGKULU","0-5",120
"2021-04-12","BENGKULU","0-5",126
"2021-04-15","BENGKULU","0-5",127
"2021-04-16","BENGKULU","0-5",127
"2021-04-17","BENGKULU","0-5",127
"2021-04-18","BENGKULU","0-5",131
"2021-04-19","BENGKULU","0-5",131
"2021-04-20","BENGKULU","0-5",133
"2021-04-21","BENGKULU","0-5",134
"2021-04-22","BENGKULU","0-5",134
"2021-04-23","BENGKULU","0-5",135
"2021-04-24","BENGKULU","0-5",136
"2021-04-25","BENGKULU","0-5",137
"2021-04-26","BENGKULU","0-5",137
"2021-04-27","BENGKULU","0-5",138
"2021-04-30","BENGKULU","0-5",144
"2021-05-01","BENGKULU","0-5",148
"2021-05-02","BENGKULU","0-5",149
"2021-05-04","BENGKULU","0-5",151
"2021-05-06","BENGKULU","0-5",152
"2021-05-08","BENGKULU","0-5",158
"2021-05-10","BENGKULU","0-5",158
