Tanggal;Provinsi;Target;Jumlah.Target;Jumlah.Vaksinasi.1;Jumlah.Vaksinasi.2
2021-03-05;Aceh;Tenaga Kesehatan;415;131;78
2021-03-06;Aceh;Tenaga Kesehatan;415;132;79
2021-03-07;Aceh;Tenaga Kesehatan;415;133;79
2021-03-08;Aceh;Tenaga Kesehatan;415;133;79
2021-03-09;Aceh;Tenaga Kesehatan;415;133;80
2021-03-10;Aceh;Tenaga Kesehatan;415;134;80
2021-03-11;Aceh;Tenaga Kesehatan;415;134;80
2021-03-12;Aceh;Tenaga Kesehatan;415;135;80
2021-03-13;Aceh;Tenaga Kesehatan;415;135;81
2021-03-14;Aceh;Tenaga Kesehatan;415;135;81
2021-03-15;Aceh;Tenaga Kesehatan;415;136;82
2021-03-16;Aceh;Tenaga Kesehatan;415;137;82
2021-03-17;Aceh;Tenaga Kesehatan;415;138;83
2021-03-18;Aceh;Tenaga Kesehatan;415;138;83
2021-03-19;Aceh;Tenaga Kesehatan;415;138;84
2021-03-20;Aceh;Tenaga Kesehatan;415;138;84
2021-03-21;Aceh;Tenaga Kesehatan;415;139;85
2021-03-22;Aceh;Tenaga Kesehatan;415;139;85
2021-03-23;Aceh;Tenaga Kesehatan;415;140;85
2021-03-24;Aceh;Tenaga Kesehatan;415;141;86
2021-03-25;Aceh;Tenaga Kesehatan;415;141;87
2021-03-26;Aceh;Tenaga Kesehatan;415;142;87
2021-03-27;Aceh;Tenaga Kesehatan;415;142;87
2021-03-28;Aceh;Tenaga Kesehatan;415;142;88
2021-03-29;Aceh;Tenaga Kesehatan;415;143;88
2021-03-30;Aceh;Tenaga Kesehatan;415;143;88
2021-03-31;Aceh;Tenaga Kesehatan;415;143;89
2021-04-01;Aceh;Tenaga Kesehatan;415;144;89
2021-04-02;Aceh;Tenaga Kesehatan;415;144;89
2021-04-03;Aceh;Tenaga Kesehatan;415;145;89
2021-04-04;Aceh;Tenaga Kesehatan;415;145;91
2021-04-05;Aceh;Tenaga Kesehatan;415;146;91
2021-04-06;Aceh;Tenaga Kesehatan;415;147;92
2021-04-07;Aceh;Tenaga Kesehatan;415;147;92
2021-04-08;Aceh;Tenaga Kesehatan;415;147;92
2021-04-09;Aceh;Tenaga Kesehatan;415;148;92
2021-04-10;Aceh;Tenaga Kesehatan;415;148;92
2021-04-11;Aceh;Tenaga Kesehatan;415;149;92
2021-04-12;Aceh;Tenaga Kesehatan;415;149;93
2021-04-13;Aceh;Tenaga Kesehatan;415;151;93
2021-04-14;Aceh;Tenaga Kesehatan;415;151;93
2021-04-15;Aceh;Tenaga Kesehatan;415;152;93
2021-04-16;Aceh;Tenaga Kesehatan;415;152;94
2021-04-17;Aceh;Tenaga Kesehatan;415;152;94
2021-04-18;Aceh;Tenaga Kesehatan;415;152;94
2021-04-19;Aceh;Tenaga Kesehatan;415;154;94
2021-04-20;Aceh;Tenaga Kesehatan;415;154;94
2021-04-21;Aceh;Tenaga Kesehatan;415;154;95
2021-04-22;Aceh;Tenaga Kesehatan;415;154;95
2021-04-23;Aceh;Tenaga Kesehatan;415;155;95
2021-04-24;Aceh;Tenaga Kesehatan;415;155;95
2021-04-25;Aceh;Tenaga Kesehatan;415;155;96
2021-04-26;Aceh;Tenaga Kesehatan;415;156;96
2021-04-27;Aceh;Tenaga Kesehatan;415;156;96
2021-04-28;Aceh;Tenaga Kesehatan;415;157;97
2021-04-29;Aceh;Tenaga Kesehatan;415;157;97
2021-04-30;Aceh;Tenaga Kesehatan;415;158;97
2021-05-01;Aceh;Tenaga Kesehatan;415;158;98
2021-05-02;Aceh;Tenaga Kesehatan;415;159;98
2021-05-03;Aceh;Tenaga Kesehatan;415;159;99
2021-05-04;Aceh;Tenaga Kesehatan;415;159;99
2021-05-05;Aceh;Tenaga Kesehatan;415;161;99
2021-05-06;Aceh;Tenaga Kesehatan;415;161;99
2021-05-07;Aceh;Tenaga Kesehatan;415;161;100
2021-05-08;Aceh;Tenaga Kesehatan;415;161;100
2021-05-09;Aceh;Tenaga Kesehatan;415;162;100
2021-05-10;Aceh;Tenaga Kesehatan;415;162;100
2021-05-11;Aceh;Tenaga Kesehatan;415;162;100
2021-05-12;Aceh;Tenaga Kesehatan;415;163;102
2021-05-13;Aceh;Tenaga Kesehatan;415;163;103
2021-05-14;Aceh;Tenaga Kesehatan;415;163;103
2021-05-15;Aceh;Tenaga Kesehatan;415;164;104
2021-05-16;Aceh;Tenaga Kesehatan;415;164;104
2021-05-17;Aceh;Tenaga Kesehatan;415;164;105
2021-05-18;Aceh;Tenaga Kesehatan;415;164;105
2021-05-19;Aceh;Tenaga Kesehatan;415;164;105
2021-05-20;Aceh;Tenaga Kesehatan;415;165;106
2021-05-21;Aceh;Tenaga Kesehatan;415;165;106
2021-05-22;Aceh;Tenaga Kesehatan;415;166;107
2021-05-23;Aceh;Tenaga Kesehatan;415;166;107
2021-05-24;Aceh;Tenaga Kesehatan;415;166;107
2021-05-25;Aceh;Tenaga Kesehatan;415;166;108
