Tanggal;Provinsi;Gejala Positif;Total
2021-03-24;ACEH;Tidak ada;4896
2021-03-28;ACEH;Tidak ada;4923
2021-04-07;ACEH;Tidak ada;4993
2021-04-12;ACEH;Tidak ada;5053
2021-04-15;ACEH;Tidak ada;5100
2021-04-16;ACEH;Tidak ada;5111
2021-04-17;ACEH;Tidak ada;5129
2021-04-18;ACEH;Tidak ada;5150
2021-04-19;ACEH;Tidak ada;5157
2021-04-20;ACEH;Tidak ada;5183
2021-04-21;ACEH;Tidak ada;5215
2021-04-22;ACEH;Tidak ada;5258
2021-04-23;ACEH;Tidak ada;5304
2021-04-24;ACEH;Tidak ada;5327
2021-04-25;ACEH;Tidak ada;5339
2021-04-26;ACEH;Tidak ada;5372
2021-04-27;ACEH;Tidak ada;5407
2021-04-30;ACEH;Tidak ada;5523
2021-05-01;ACEH;Tidak ada;5585
2021-05-02;ACEH;Tidak ada;5619
2021-05-04;ACEH;Tidak ada;5696
2021-05-06;ACEH;Tidak ada;5795
2021-05-08;ACEH;Tidak ada;5901
2021-05-10;ACEH;Tidak ada;5949
2021-05-13;ACEH;Tidak ada;6076
2021-05-14;ACEH;Tidak ada;6079
2021-05-16;ACEH;Tidak ada;6125
2021-05-19;ACEH;Tidak ada;6308
2021-05-25;ACEH;Tidak ada;6791
2021-05-26;ACEH;Tidak ada;6924
2021-05-29;ACEH;Tidak ada;7316
2021-05-31;ACEH;Tidak ada;7509
2021-06-02;ACEH;Tidak ada;7620
2021-06-10;ACEH;Tidak ada;8413
2021-06-12;ACEH;Tidak ada;8609
2021-06-13;ACEH;Tidak ada;8688
2021-03-24;BALI;Tidak ada;19263
2021-03-28;BALI;Tidak ada;19586
2021-04-07;BALI;Tidak ada;20527
2021-04-12;BALI;Tidak ada;20952
2021-04-15;BALI;Tidak ada;21188
2021-04-16;BALI;Tidak ada;21294
2021-04-17;BALI;Tidak ada;21378
2021-04-18;BALI;Tidak ada;21464
2021-04-19;BALI;Tidak ada;21541
2021-04-20;BALI;Tidak ada;21645
2021-04-21;BALI;Tidak ada;21743
2021-04-22;BALI;Tidak ada;21827
2021-04-23;BALI;Tidak ada;21896
2021-04-24;BALI;Tidak ada;21958
2021-04-25;BALI;Tidak ada;21991
2021-04-26;BALI;Tidak ada;22043
2021-04-27;BALI;Tidak ada;22118
2021-04-30;BALI;Tidak ada;22336
2021-05-01;BALI;Tidak ada;22407
2021-05-02;BALI;Tidak ada;22450
2021-05-04;BALI;Tidak ada;22577
2021-05-06;BALI;Tidak ada;22714
2021-05-08;BALI;Tidak ada;22828
2021-05-10;BALI;Tidak ada;22916
2021-05-13;BALI;Tidak ada;23062
2021-05-14;BALI;Tidak ada;23086
2021-05-16;BALI;Tidak ada;23145
2021-05-19;BALI;Tidak ada;23278
2021-05-25;BALI;Tidak ada;23487
2021-05-26;BALI;Tidak ada;23516
2021-05-29;BALI;Tidak ada;23587
2021-05-31;BALI;Tidak ada;23630
2021-06-02;BALI;Tidak ada;23660
2021-06-10;BALI;Tidak ada;23821
2021-06-12;BALI;Tidak ada;23855
2021-06-13;BALI;Tidak ada;23877
2021-03-24;BANTEN;Tidak ada;17798
2021-03-28;BANTEN;Tidak ada;18081
2021-04-07;BANTEN;Tidak ada;22267
2021-04-12;BANTEN;Tidak ada;22667
2021-04-15;BANTEN;Tidak ada;22842
2021-04-16;BANTEN;Tidak ada;22918
2021-04-17;BANTEN;Tidak ada;22969
2021-04-18;BANTEN;Tidak ada;22994
2021-04-19;BANTEN;Tidak ada;23031
2021-04-20;BANTEN;Tidak ada;23086
2021-04-21;BANTEN;Tidak ada;23121
2021-04-22;BANTEN;Tidak ada;23172
2021-04-23;BANTEN;Tidak ada;23258
2021-04-24;BANTEN;Tidak ada;23287
2021-04-25;BANTEN;Tidak ada;23327
2021-04-26;BANTEN;Tidak ada;23437
2021-04-27;BANTEN;Tidak ada;23551
2021-04-30;BANTEN;Tidak ada;23672
2021-05-01;BANTEN;Tidak ada;23698
2021-05-02;BANTEN;Tidak ada;23726
2021-05-04;BANTEN;Tidak ada;23845
2021-05-06;BANTEN;Tidak ada;23914
2021-05-08;BANTEN;Tidak ada;23988
2021-05-10;BANTEN;Tidak ada;24065
2021-05-13;BANTEN;Tidak ada;24151
2021-05-14;BANTEN;Tidak ada;24170
2021-05-16;BANTEN;Tidak ada;24214
2021-05-19;BANTEN;Tidak ada;24282
2021-05-25;BANTEN;Tidak ada;24476
2021-05-26;BANTEN;Tidak ada;24498
2021-05-29;BANTEN;Tidak ada;24639
2021-05-31;BANTEN;Tidak ada;24738
2021-06-02;BANTEN;Tidak ada;24832
2021-06-10;BANTEN;Tidak ada;25288
2021-06-12;BANTEN;Tidak ada;25502
2021-06-13;BANTEN;Tidak ada;25601
2021-03-24;BENGKULU;Tidak ada;2659
2021-03-28;BENGKULU;Tidak ada;2682
2021-04-07;BENGKULU;Tidak ada;2810
